indicator,signals,count,seen_in,example_clue
about,insertion,3,20260701-11A; 20260709-6A; 20260722-9D,Turner and others reflecting about what gets him going
back,reversal,3,20260701-28A; 20260716-20A; 20260724-21A,Artist’s back pay for services rendered
before,link,3,20260701-21A; 20260709-14A; 20260717-23D,Brief stint to improve football club before unlimited team growth
blocking,insertion,3,20260703-17D; 20260710-5D; 20260715-5D,Car missing rear end blocking road over a Welsh river
cuts,insertion,3,20260629-9A; 20260701-3D; 20260703-22D,Family snatch cold cuts and seafood
embraces,container,3,20260629-6D; 20260720-23A; 20260722-6D,Valiant maiden shortly embraces warrior king
ending in,selection,3,20260706-26A; 20260706-7D; 20260720-5D,"Decline, for example, going into retreat ending in terrible cost"
extremely,selection,3,20260630-24D; 20260713-1A; 20260714-27A,Extremely “biddable” nationalist turned out to be corrupt
first,selection,3,20260710-12A; 20260720-1A; 20260721-14A,Fall with Valerie for Singleton’s first procession
losing,deletion,3,20260704-7D; 20260715-2D; 20260718-14D,What’s between programmes of Biden and Trump initially losing billions
naked,deletion,3,20260630-17A; 20260709-9A; 20260710-13A,Skips about naked in motor home
periodically,selection,3,20260629-8D; 20260703-13A; 20260713-13A,Expose US Navy periodically spinning untruth
terrible,anagram,3,20260706-15D; 20260714-27A; 20260714-6D,"Not even unusual urge stops terrible liar, traitor ultimately"
turning,reversal,3,20260706-21A; 20260707-22A; 20260717-17A,"Shock assistant, turning against crony"
ultimately,selection,3,20260702-1A; 20260706-15D; 20260722-6D,Tie in school ultimately non-negotiable
with,link,3,20260703-6D; 20260711-14D; 20260717-21A,Restrict man’s starting blocks with pistol and stopwatch possibly
working,anagram,3,20260629-26A; 20260710-23A; 20260718-16A,Clumsy article penned by dad — check working
backed,reversal,2,20260708-2D; 20260709-3D,Centre backed arrests regularly dividing parts of Ireland
base,anagram,2,20260701-7D; 20260717-19A,Break tile under base
beginning to,selection,2,20260708-14D; 20260709-1A,Talk about cut beginning to affect crime checks
behind,link,2,20260711-25A; 20260716-25A,Column left behind regrouped at speed
beneath,link,2,20260711-22D; 20260724-22D,Shower beneath grand timber structure
broadcast,homophone,2,20260704-25A; 20260713-23A,Broadcast before broadcast
by,link,2,20260701-16A; 20260704-27A,"Risky undertaking, coming by river"
careers,anagram,2,20260701-12A; 20260702-6D,Protracted campaigns can now polarise careers
carrying,container,2,20260709-26A; 20260723-27A,Excellent design carrying variable current in switch
centre of,selection,2,20260630-3D; 20260714-11A,Place to stay in centre of Medellin
checking,container,2,20260701-27A; 20260717-14D,Weapons companies checking defaced equipment
close to,selection,2,20260707-10A; 20260720-16D,Borders crossing close to free French city
complex,anagram,2,20260713-26A; 20260717-18D,Open super-large complex useful for many things
covering,container,2,20260629-20A; 20260716-17D,"More depressed, with nasty grime covering lavatory"
covers,container,2,20260702-12A; 20260716-8D,Employed outside job fair displaying seat covers
curtailed,deletion,2,20260710-9A; 20260714-23A,Trick question curtailed win
drifting,anagram,2,20260709-5D; 20260711-9A,"With advanced gunship drifting on water, possibly it’s next to sink?"
empty,selection,2,20260630-13A; 20260714-24A,Cross dons can rapidly empty chat room
filled with,insertion,2,20260706-12A; 20260707-11A,"Cleanser in middle of kitchen getting on with stuff, filled with energy"
head of,selection,2,20260704-29A; 20260713-10A,Head of enterprise in record temper
hollow,deletion,2,20260702-19A; 20260720-24D,Vegetables once known as “hollow potatoes”
hosting,container,2,20260721-22A; 20260723-13A,Canadian city before long hosting a card game
in,hidden,2,20260630-9A; 20260706-27A,"In Kabul, are Taliban retreating on both sides?"
inside,insertion,2,20260713-23D; 20260723-18D,"Smoke starts to intoxicate gamblers inside saloon, perhaps"
last,selection,2,20260711-10A; 20260716-12A,Ramshackle home will not last for tenancy
last to,selection,2,20260629-17A; 20260722-21D,Quiet old Conservative Big Beast last to speak in vibrant tone
missing,deletion,2,20260716-12A; 20260716-28A,"School music award missing year, a choir’s last"
not,deletion,2,20260720-9D; 20260721-19D,"For luxury dining, cook baked beans first, not second"
out of,deletion,2,20260629-19D; 20260708-17A,Bill eats fruit out of English tree
parts,container,2,20260701-26A; 20260702-24A,Grass company really cutting back parts obtained from waste
protecting,container,2,20260709-6D; 20260721-5D,"For example, pump protecting very large excavator"
put up,reversal,2,20260701-8D; 20260702-5D,New sign put up when Santa comes
receiving,insertion,2,20260706-18A; 20260713-6D,European with jolly temper receiving love periodically
retiring,reversal,2,20260701-4A; 20260706-9A,Vulgar scheme involves English bishop that is retiring
rotating,reversal,2,20260709-18A; 20260724-8D,Discards rotating door part
south of,link,2,20260717-12D; 20260721-2D,Estate managers cut cereal crops south of river
spinning,reversal,2,20260629-8D; 20260711-21D,Expose US Navy periodically spinning untruth
stops,insertion,2,20260706-15D; 20260715-7D,"Not even unusual urge stops terrible liar, traitor ultimately"
to the west,reversal,2,20260720-15A; 20260724-1A,Collection extracted from soil of tropics to the west
uncovered,deletion,2,20260701-5D; 20260724-6D,Uncovered definitive sweet or savoury drink
when drunk,anagram,2,20260707-15A; 20260714-16D,Curry perhaps one Kelvin creates when drunk
without,deletion,2,20260630-15A; 20260720-28A,Eloquent Roman commander-in-chief meeting hero without aspiration
+,link,1,20260718-27A,N + L – F? Neat
a little,hidden,1,20260711-26A,A little variation in level reflected warming at sea
abandoned,anagram,1,20260710-1A,"Abandoned, of course I will be wild"
abandoned by,deletion,1,20260701-23D,Pointer litter abandoned by female
aboard,insertion,1,20260715-4D,More than half of soccer team aboard vehicle upset left-winger
above,link,1,20260721-20D,Special sandals mostly elevated above air
abysmal,anagram,1,20260720-5D,Charity officer’s abysmal morale ending in depression
adopting,insertion,1,20260717-9D,An old woman adopting stuck-up air of cultivation
after losing case,deletion,1,20260708-3D,Infuriate former partner according to judges after losing case
after losing leader,deletion,1,20260721-3D,Fold Labour group after losing leader
against,link,1,20260706-21A,"Shock assistant, turning against crony"
all over the place,anagram,1,20260722-15D,Surreptitiously hide notes all over the place
almost entirely,deletion,1,20260703-25A,Almost entirely like <i>Wyrd Sister</i>’s mix of meaty morsels
around,insertion,1,20260718-28A,Shouting around old wife visibly ageing
as,link,1,20260718-2D,What comforts party perhaps as following disappears
at first,selection,1,20260702-26A,"Two girls, terrible enemies at first, are a perfect fit for each other"
at last,selection,1,20260701-1A,"At last, floor space charge generates profit"
at sea,anagram,1,20260721-18A,"Bird, cosy chatterer at sea"
at the back,selection,1,20260709-27A,Warning device in floor interrupted by loose connection at the back
at the end,selection,1,20260713-14D,Artist’s work wins top prize at the end
audible,homophone,1,20260703-18A,"Knock, making audible sound"
avoiding,deletion,1,20260707-7A,Female domestic avoiding male helper
awful,anagram,1,20260701-10A,Awful slurs — I vow this will eventually plague host
back,selection,1,20260722-25A,"Polar bear’s back, on returning with particular force?"
backing,link,1,20260723-1A,Justify tirade backing conflict
badly,anagram,1,20260706-10D,"Crafty chap, evil animal, badly wanting power"
becomes,link,1,20260723-14D,Author’s less wise when book becomes mostly golden
beginning of,selection,1,20260720-18D,"Thanks boyfriend, introducing beginning of love scene"
being,link,1,20260710-28A,"Fail ’eavily, being a mug"
beset by,insertion,1,20260707-5D,Terriers beset by obsessive behaviour in four pairs?
between,link,1,20260706-22A,Piety in turn followed by rows between daughter and son
binding,container,1,20260706-14A,Superb quality in publication with good binding provided by New Church
blankets,container,1,20260630-22A,"Easily touched, offer last of our warm blankets"
blasted,anagram,1,20260703-9A,Maureen blasted romantic mag showing personal letters
blocks,insertion,1,20260703-6D,Restrict man’s starting blocks with pistol and stopwatch possibly
boards,insertion,1,20260717-22A,Energy boards beat regulator and arbitrator
bolstered by,link,1,20260630-18D,Short people collectively bolstered by current swimsuit style
bottles,container,1,20260707-16D,Some exudation? Cap damaged mescal bottles
bottom to top,anagram,1,20260715-6D,"Boy with arrows climbed, bottom to top"
boxing,hidden,1,20260707-23D,Admirer unveils boxing show aired again
boxing,insertion,1,20260714-2D,Language once used in a northern boxing match
breaking,insertion,1,20260714-9A,Mike Pence breaking law in disorder
breaking into,insertion,1,20260716-1A,Ranting crowd in turn succeeded breaking into club
breaks,insertion,1,20260702-1D,Astounded work supported kinky sex breaks
brief,deletion,1,20260701-21A,Brief stint to improve football club before unlimited team growth
bringing forward last,anagram,1,20260704-28A,Inspector swaggers bringing forward last suspect
brings,link,1,20260716-23A,I’m thinking black fury brings offence
broken by,insertion,1,20260713-21D,Spirit of good admin worker broken by criticism
brushing aside,deletion,1,20260703-16A,Witch-hunt brushing aside quiet advocate
buries,insertion,1,20260701-6D,Unsound victory buries Liberal prime minister
burst,anagram,1,20260717-11A,Land excellent jab striking face of boxer in brazen burst
bustling,anagram,1,20260630-7D,Couple married in bustling Soweto
capsized,reversal,1,20260709-4D,"Craft capsized, engulfed by sticky substance in hold"
captures,container,1,20260709-2D,Moving melody captures minstrel’s heart
carrying,insertion,1,20260706-6D,"Estimation of position that’s insensitive about country’s leader, monarch carrying on"
cast,anagram,1,20260720-3D,Selfish person one might cast in <i>Jeopardy</i>
catches,insertion,1,20260714-1D,"Confused, Glen catches a couple of zeds in appropriate place"
catches,container,1,20260716-22D,Little pet I don’t know catches a church mouse
caught by,insertion,1,20260710-23A,Drip caught by painter working secretly
central to,insertion,1,20260708-19D,Prominent story central to article set in stone
centre in,selection,1,20260701-19D,Plant centre in New Guinea flourishing
change of,anagram,1,20260704-2D,Change of plan about new flag
changes,anagram,1,20260713-22A,Money manager less hesitant after rate changes
changes heart for,deletion,1,20260704-15D,Whisky changes heart for English person that’s aggressive
charged with,link,1,20260711-5A,Constant husband charged with fling remains grumpy
checks,container,1,20260708-14D,Talk about cut beginning to affect crime checks
chunk of,hidden,1,20260702-25A,Great chunk of retirement savings withdrawn
coated with,container,1,20260724-10A,Lolly somebody coated with crumbs!
collects,container,1,20260711-14A,"Processing unit collects university fees, assisting ministry"
concealing,insertion,1,20260703-2D,St Peter’s successor seemingly concealing maiden’s perilous location
concealing,container,1,20260711-3D,Republicans’ preferred leader now concealing identity
conclusion,selection,1,20260722-19D,Head going mad over inspection’s conclusion
containing,insertion,1,20260703-12D,Protest band from US — one containing guitar
contracted,deletion,1,20260707-1D,Sibling contracted in MI6
cook,anagram,1,20260720-9D,"For luxury dining, cook baked beans first, not second"
cooking,anagram,1,20260717-25A,Plastic colanders plugged by choosy cooking academy
core from,selection,1,20260723-6D,Kind of music benefit including core from Monty Python
corrupt,anagram,1,20260707-11A,"My soul, corrupt, filled with power in divine residence"
could be,link,1,20260717-6D,House fire in US could be malicious prank
could turn into,anagram,1,20260708-8D,Repartee could turn into something fruitful?
counter,reversal,1,20260717-28A,Firm searches packaging at counter
covered by,container,1,20260629-21D,Duplicate chapter covered by US school subject
covering,insertion,1,20260713-4D,Financial wizard covering a doctor’s 25 per cent cut?
cream,anagram,1,20260717-3D,Cream dairy built for long-lasting quality
crossing,insertion,1,20260707-10A,Borders crossing close to free French city
crushed,anagram,1,20260722-5D,Forcefully demanded I crushed dissent
crushed by,insertion,1,20260701-20D,Rescue one that’s been crushed by digger
crux of,selection,1,20260720-20A,She predicts crux of inside line on Times
cryptic,anagram,1,20260722-22A,"Arcane things I create, so cryptic"
cut,hidden,1,20260718-1D,Disgraced arboretum cut down tree
cut off,deletion,1,20260710-4D,Australia cut off Japanese conductor
cut short,deletion,1,20260714-26A,Dreadful place cut short welcome
cuts,deletion,1,20260711-24A,Last minute cuts restored later
cutting back,deletion,1,20260701-26A,Grass company really cutting back parts obtained from waste
cycling,anagram,1,20260724-21A,Woolly you finally gave back after cycling
cycling round,anagram,1,20260711-12A,"Cycling round Lewis, see western one?"
damaged,anagram,1,20260707-16D,Some exudation? Cap damaged mescal bottles
defaced,deletion,1,20260701-27A,Weapons companies checking defaced equipment
denied to,deletion,1,20260704-23D,Protection thus denied to Agamemnon’s murderer
detracted from,deletion,1,20260710-26D,Nothing detracted from outstanding side of building
devised,anagram,1,20260710-18D,"Ruse, ie craft I devised"
devouring,container,1,20260707-9A,Fish devouring famous bat — suspect treachery?
digests,deletion,1,20260717-7D,Book digests just scrap source of many ideas
disappears,deletion,1,20260718-2D,What comforts party perhaps as following disappears
discharging,deletion,1,20260703-22D,Animated boy discharging bomb finally cuts what wire?
dismissing,deletion,1,20260715-8D,A long time dismissing first English doctor in confused situation may be sign of pregnancy
displaced,anagram,1,20260716-10A,Displaced area in girl’s haunches and in the waist
displays,hidden,1,20260720-11A,Piece of film art initially displays something intoxicating
ditching,deletion,1,20260630-6D,Legendary outlaw’s lover ditching male and seizing day
dividing,insertion,1,20260708-2D,Centre backed arrests regularly dividing parts of Ireland
dons,container,1,20260630-13A,Cross dons can rapidly empty chat room
drawn in by,insertion,1,20260707-28A,Artist drawn in by enigmatic Chinese title
dreadful,anagram,1,20260710-16D,Dreadful tedium gripping last month’s host
drops,deletion,1,20260724-11A,"Nothing left of citrus drops, everything sold"
eating,insertion,1,20260718-3D,Shark acted horribly eating bird not flying away
eats,container,1,20260629-19D,Bill eats fruit out of English tree
edges away,deletion,1,20260716-9A,"Edges away, keeling over exhausted"
elevated,reversal,1,20260707-2D,Daft mimicry always includes elevated material
empty,deletion,1,20260717-16D,Copper led empty investigation up close
end in,selection,1,20260707-3D,Energy cuts end in catastrophe — and darkness
end of,selection,1,20260721-9D,Reveal end of world is nigh
endlessly,deletion,1,20260706-24A,Spies in constant control endlessly essential
engulfed by,insertion,1,20260709-4D,"Craft capsized, engulfed by sticky substance in hold"
enigmatic,anagram,1,20260707-28A,Artist drawn in by enigmatic Chinese title
entering,insertion,1,20260709-16A,"Entering key, one disembarked"
enthralling,container,1,20260715-14A,"Eliminates our team, enthralling billions in big defeat"
essentially,selection,1,20260701-17D,"Test 1960s car model — very old Mercedes, essentially"
exchanging,deletion,1,20260720-14A,"Catch without licence, exchanging penny for river fish"
expelling content,deletion,1,20260707-19A,Tool secures device expelling content behind washer
exploited,anagram,1,20260724-13D,Exchange of shots after sit-ins exploited by the left
exposed,deletion,1,20260701-18A,Table designer’s almost repaired exposed tube
extracted from,hidden,1,20260720-15A,Collection extracted from soil of tropics to the west
face of,selection,1,20260717-11A,Land excellent jab striking face of boxer in brazen burst
failed,anagram,1,20260708-13A,Presenter reportedly once had sex with failed actress
failing to finish,deletion,1,20260629-16D,An international compiler failing to finish drink
fancy,anagram,1,20260630-19A,"Once rich, fancy a Rolls Royce"
fantastic,anagram,1,20260714-4D,Co-star crediting fantastic person who hired her?
featuring in,hidden,1,20260713-24A,"Series of coordinated steps featuring in appraisals, annoyingly"
feeding,insertion,1,20260722-1D,King feeding another man peach snack
fighting,anagram,1,20260630-26A,Frequent fighting in seaport
fills,insertion,1,20260702-9A,Extra time fills fraction of device’s memory
finish for,selection,1,20260724-17A,"Grafter losing in photo finish for medals, pressure showing"
finish off,selection,1,20260629-3D,Finish off drug propping up party animal
first in,selection,1,20260722-8A,"Star student, when is first in theory, receives prize like that"
first of all,selection,1,20260722-7D,Country’s top player first of all in cup appearance
first to leave,deletion,1,20260707-21D,Those without residence first to leave Martian moon
firstly,selection,1,20260703-10A,One who’s fetching display firstly selects the frames
flanking,container,1,20260701-1D,Building problem — slope flanking siding unstable
fleeing from,deletion,1,20260630-10A,"Soldiers left Lima, fleeing from floozy"
flourishing,anagram,1,20260701-19D,Plant centre in New Guinea flourishing
flying,anagram,1,20260709-12A,Fake gem I sent flying into river
focus of,selection,1,20260701-25A,Safe place to receive focus of attention
followed by,link,1,20260706-22A,Piety in turn followed by rows between daughter and son
following,link,1,20260714-25A,Order policeman to leave mate following cigarette
for ears,homophone,1,20260720-2D,Beastly noise — provide barrier for ears
for example,link,1,20260709-6D,"For example, pump protecting very large excavator"
for resolution,anagram,1,20260716-20A,"Powerful expression being cut back, aim only for resolution"
for the most part,deletion,1,20260715-22D,Divert item required for the most part in A&E
fragments,anagram,1,20260718-4D,Tune’s fragments not yet composed
frames,container,1,20260703-10A,One who’s fetching display firstly selects the frames
framing,container,1,20260720-1A,Action-led shot framing Coppola’s first western
fresh,anagram,1,20260629-12D,Where to keep good clarets fresh?
from,link,1,20260710-1D,Shy away from Florida island
from below,reversal,1,20260724-24D,Structure resisting great pressure from below cracked
from just after its inception,deletion,1,20260713-17A,Sport thriving from just after its inception
gathered,anagram,1,20260722-10A,"Biblical character consumed, I gathered"
generates,link,1,20260701-1A,"At last, floor space charge generates profit"
getting case dismissed,deletion,1,20260711-5D,"Honesty positively helpful with jury, getting case dismissed"
getting left for,deletion,1,20260704-17D,Cannot stand getting left for the day singing
getting on top,link,1,20260706-7D,"Seed, one ending in final, fast getting on top"
getting through,insertion,1,20260716-27A,One giving name getting through entrance
getting up,reversal,1,20260630-2D,Wind getting up in film of the ocean
given by,link,1,20260715-1D,Heat and rain to west vaguely given by meteorological device
given by spooner?,homophone,1,20260711-13D,"Eg “One giant leap”, its location given by Spooner?"
going after,link,1,20260703-22A,Bury doctor going after mentor stripped of title
going around,container,1,20260724-24A,Heavy load troubles European on motorway going around 100 mph
going back,reversal,1,20260723-5A,"Perhaps deodorant can look desperate, going back on area"
going into,insertion,1,20260706-26A,"Decline, for example, going into retreat ending in terrible cost"
going round,container,1,20260709-28A,"Fancy old man going round yard on a moped, mostly coming off"
got up!,reversal,1,20260720-19D,Parrot got up — everyone got up!
grasping,insertion,1,20260704-22A,Who works hard other than grasping Liberal club
grasping,container,1,20260715-13D,Financial activity pre-empting any return from grasping nobleman
gripped by,insertion,1,20260707-20A,Husband gripped by depression no longer able to function
gripping,container,1,20260710-16D,Dreadful tedium gripping last month’s host
guards,container,1,20260723-21D,Red setter’s about to move towards guards
half of,selection,1,20260718-24D,Half of fish can be bleak in Chesapeake Bay
half of,deletion,1,20260723-2D,"How unpleasant to cut half of pudding, or thereabouts"
half of each,selection,1,20260716-5A,"Spender rarely missed beer, half of each"
halved,deletion,1,20260708-9A,Open University study halved proposal
has had a change of heart,link,1,20260718-6A,Conclude Dawn has had a change of heart
having lost coat,deletion,1,20260717-4D,Dressing’s a fiddle having lost coat
having no,deletion,1,20260715-26A,Visitors from university presumably having no time for reasonable supposition
having received,insertion,1,20260721-7D,"Sacred text I had translated, having received bursary?"
having secured,insertion,1,20260713-2D,"Airline finally can advance, having secured one place for aircraft"
having wrapped,container,1,20260716-16D,"Dispatch salad plant, having wrapped it"
headed,deletion,1,20260713-5D,Reluctant explorers headed east
heading for,selection,1,20260702-24A,"Carefree on leaving show, one of seven heading for better parts"
heading off,selection,1,20260711-8D,"When upset go to bed, heading off extremely gloomy"
heart,selection,1,20260709-2D,Moving melody captures minstrel’s heart
heeding limits,hidden,1,20260711-6D,"Take cover from sun’s heat, heeding limits"
hiked up,reversal,1,20260717-1D,Parties of amateur mapmakers hiked up sierra
holding,container,1,20260706-23D,Storehouse in spot holding record
hosts,container,1,20260720-12A,Plug in hosts connected to revolutionary network: cause of power surge?
housing,container,1,20260721-27A,"Home, comfortable one housing organ, seriously!"
idiomatically,homophone,1,20260710-18A,"Sucker pronounced not entirely safe, idiomatically"
ignoring,deletion,1,20260710-6D,Order having the benefit of ignoring leaders of youth groups
impress,hidden,1,20260724-20D,Certain that charges impress a felon
in,container,1,20260629-14A,Injure supporter in capital relocating northern star
in first half,selection,1,20260708-24D,Absolutely worst acts on stage in first half
in front of,link,1,20260717-13A,Spot wife in front of buffet
in middle of,selection,1,20260702-13D,"Couple in middle of Gretna wearing wreathes, madly in love"
in need of,link,1,20260702-2D,Still in need of a poet laureate?
in need of opening,deletion,1,20260702-18A,"Singer, in need of opening, rehearsed new moves"
in part,hidden,1,20260629-11A,"Relief is calculated, in part, based on tax revenues?"
in retrospect,reversal,1,20260708-1A,"British criminal gang let out — in retrospect, a disaster waiting to happen"
in speech,homophone,1,20260706-1A,Locate vision in speech
in switch,reversal,1,20260709-26A,Excellent design carrying variable current in switch
in the auditorium,homophone,1,20260702-21D,Advantage of a screen in the auditorium
in the earliest stages,selection,1,20260702-15A,Stomach pains pass if caught in the earliest stages
in the end,selection,1,20260722-23D,I managed to grab sunbed in the end — and took it easy
in the middle of,selection,1,20260713-3D,Large grounds are located all in the middle of the country
in the wars,anagram,1,20260704-5D,Rebellion envelops Tatars in the wars
in turn,reversal,1,20260716-1A,Ranting crowd in turn succeeded breaking into club
includes,insertion,1,20260707-2D,Daft mimicry always includes elevated material
including,insertion,1,20260723-6D,Kind of music benefit including core from Monty Python
initially ignored,deletion,1,20260714-14A,Residue from parties initially ignored
injected in,insertion,1,20260703-26A,"Hard drug injected in wound made good, at last?"
interrupted by,insertion,1,20260709-27A,Warning device in floor interrupted by loose connection at the back
interrupting,insertion,1,20260703-14D,Fabulous man with cape interrupting functions
intervention,insertion,1,20260723-22A,Opening words in panto come undone with European Union intervention
into,insertion,1,20260709-12A,Fake gem I sent flying into river
introduced by,link,1,20260708-5D,Adopts arguments introduced by book as an alternative
introduced to,insertion,1,20260630-1A,Where policeman’s first introduced to truncheon work?
introducing,insertion,1,20260720-18D,"Thanks boyfriend, introducing beginning of love scene"
involved in,insertion,1,20260708-25A,Angers friend involved in race relations
involves,insertion,1,20260701-4A,Vulgar scheme involves English bishop that is retiring
involving,insertion,1,20260706-3A,"Almost admit, on reflection, act involving bad misdemeanour"
irregular,anagram,1,20260720-28A,Irregular guards carry golf bags without clubs for rich older guy
is,link,1,20260703-23A,"Work is due, dream life’s ruined"
is gained by,insertion,1,20260716-14D,Nothing is gained by hanging about and sucking up
is to display,hidden,1,20260714-10A,Prize task is to display the sixth brightest star
keeps,container,1,20260720-21A,Secretary bird keeps losing a lot of eggs
kept,hidden,1,20260723-28A,Section of puzzles team editorially kept just out of hot water?
last of,selection,1,20260718-12A,Fantasise removing last of bed sheets
lead character in,selection,1,20260708-12A,Lead character in Greek writer’s play
leader,selection,1,20260706-6D,"Estimation of position that’s insensitive about country’s leader, monarch carrying on"
leader in,selection,1,20260715-9A,Lot of surprise about leader in tournament table
leader of,selection,1,20260703-3D,"Begrudge supporting old leader of mafia shot here, there and everywhere"
leaders muddled,anagram,1,20260724-9A,Leaders muddled in battle rush order to reorient troops
leaders of,selection,1,20260710-6D,Order having the benefit of ignoring leaders of youth groups
lifted,reversal,1,20260723-20D,7 almost lifted product of eg Berkshire town
limits to,selection,1,20260715-5D,Limits to Universal blocking movie award regarding kissing
lines,insertion,1,20260701-14A,Psalmist prepared seventeenth-century bible lines
linked to,link,1,20260706-20D,Odds linked to place on ladder jumped
lisping,homophone,1,20260630-23D,Lay lisping in minimal underwear
loses,deletion,1,20260714-18D,Nation’s poet loses pound of gold
losing final,deletion,1,20260723-26A,Boat Race coverage has to hurt after losing final 1-0
losses sustained periodically in,selection,1,20260702-8D,Losses sustained periodically in Seattle gorge
lot of,deletion,1,20260715-9A,Lot of surprise about leader in tournament table
loudly,homophone,1,20260714-19A,"In denial, slag off A & E loudly, perhaps"
mad,anagram,1,20260722-19D,Head going mad over inspection’s conclusion
madly,anagram,1,20260702-13D,"Couple in middle of Gretna wearing wreathes, madly in love"
making a comeback,reversal,1,20260708-21D,Dated observation failing to save author making a comeback
making comeback,reversal,1,20260703-6A,"Fuss, saying instruction to boxer making comeback?"
making late start,selection,1,20260724-26A,Rate model making late start in occupation
masks,hidden,1,20260702-22D,"Typically dusty passageway, glad I took masks"
minus one,deletion,1,20260722-1A,A variable in diagram minus one — is square
missing last,deletion,1,20260714-13D,"Setter penning Listener, although missing last piece of mechanism"
missing rear end,deletion,1,20260703-17D,Car missing rear end blocking road over a Welsh river
mix,anagram,1,20260723-9A,What colours do Blur see in mix?
modified,anagram,1,20260724-7D,Male genes modified to limit alpha element
most of,deletion,1,20260717-2D,One’s leaving most of liquid waste in vessel
mostly coming off,deletion,1,20260709-28A,"Fancy old man going round yard on a moped, mostly coming off"
moves,anagram,1,20260702-18A,"Singer, in need of opening, rehearsed new moves"
murdered,anagram,1,20260718-13D,Sweet spirit of murdered Colm O’Neill
nasty,anagram,1,20260629-20A,"More depressed, with nasty grime covering lavatory"
nearly,deletion,1,20260724-15D,"Decent plain rounds within compass of bell-ringer, nearly"
needing resetting,anagram,1,20260718-11A,Fake gem and nine others needing resetting
next to,link,1,20260714-24A,"Next to empty temple, shot animals for egg cell?"
no end of,deletion,1,20260716-15A,No end of obstruction for co-operating parties
not entirely,deletion,1,20260704-14A,Not entirely well after reverse of healthy snack
not taking first,deletion,1,20260723-23D,Criminal not taking first cross
noted by auditor,homophone,1,20260724-5D,Later acquisition noted by auditor
novel,anagram,1,20260630-28A,Gide novel is in French and most intense
obscure,anagram,1,20260702-20A,Obscure athletes who succeeded attract most attention
off,deletion,1,20260709-22A,"All for day off — unrestricted, do nothing"
on board,insertion,1,20260722-18A,Crew on board ship cooks
on reflection,reversal,1,20260706-3A,"Almost admit, on reflection, act involving bad misdemeanour"
on return of,reversal,1,20260720-4D,De Gaulle’s veto on return of lager designed to prevent accidents
on the way up,reversal,1,20260718-22D,Former barrister’s assistant was on the way up
on top,link,1,20260721-23D,Female potentially shocking? Nothing on top!
