surface,letters,count,kind,reusable,seen_in,example_clue,example_answer
old,O,4,abbreviation,yes,20260629-17A; 20260701-17D; 20260703-3D; 20260718-28A,Quiet old Conservative Big Beast last to speak in vibrant tone,SHOCKINGPINK
power,P,4,abbreviation,yes,20260706-10D; 20260707-11A; 20260715-2D; 20260718-14D,"Crafty chap, evil animal, badly wanting power",MACHIAVELLIAN
time,T,4,abbreviation,yes,20260702-9A; 20260707-18D; 20260715-20A; 20260715-26A,Extra time fills fraction of device’s memory,BYTE
american,A,3,abbreviation,yes,20260630-1D; 20260704-26A; 20260720-10A,Youngster on American island,CUBA
article,AN,3,other,yes,20260629-26A; 20260708-19D; 20260720-7D,Clumsy article penned by dad — check working,CACKHANDED
caught,C,3,cricket,yes,20260701-24D; 20260702-15A; 20260723-10A,Caught male with female cook,CHEF
company,CO,3,abbreviation,yes,20260701-26A; 20260718-25A; 20260721-14A,Grass company really cutting back parts obtained from waste,RECOVERED
day,D,3,abbreviation,yes,20260629-1A; 20260711-19A; 20260715-20A,"Around noon, day before, say Black Prince danced with her",CINDERELLA
doctor,DR,3,abbreviation,yes,20260702-10A; 20260713-4D; 20260715-8D,Doctor and sister starting round quietly in formal attire,DRESSSHIRT
energy,E,3,single-letter,yes,20260706-12A; 20260707-3D; 20260717-22A,"Cleanser in middle of kitchen getting on with stuff, filled with energy",COLDCREAM
female,F,3,abbreviation,yes,20260701-23D; 20260701-24D; 20260710-27A,Pointer litter abandoned by female,ARROW
home,IN,3,synonym,yes,20260708-16A; 20260721-27A; 20260721-2D,Get used to holiday home,BREAKIN
husband,H,3,abbreviation,yes,20260707-20A; 20260711-5A; 20260718-15D,Husband gripped by depression no longer able to function,THROUGH
is,IS,3,synonym,yes,20260715-18D; 20260721-5D; 20260721-9D,"Drink provider, almost nude, is on <i>Cheers</i>",BARISTA
love,O,3,single-letter,yes,20260702-7D; 20260706-18A; 20260721-5D,Miss Cambridge University’s past love,OMIT
male,M,3,abbreviation,yes,20260630-6D; 20260707-7A; 20260715-7D,Legendary outlaw’s lover ditching male and seizing day,ARTHURIAN
motorway,M,3,abbreviation,yes,20260706-1D; 20260714-15D; 20260724-24A,Curved structure over motorway in spot I don’t know,SEARCHME
name,N,3,abbreviation,yes,20260716-27A; 20260720-13A; 20260724-2D,One giving name getting through entrance,DONOR
popular,IN,3,synonym,yes,20260629-13A; 20260707-14D; 20260710-10A,The US band with popular electronic instrument,THEREMIN
republican,R,3,abbreviation,yes,20260704-26A; 20260714-17A; 20260720-23A,American Republican understood what criminals may deliver,ARGOT
right,R,3,abbreviation,yes,20260706-4D; 20260718-23D; 20260720-23A,Guarantee yielding right result,ENSUE
river,R,3,abbreviation,yes,20260706-9A; 20260713-20D; 20260720-14A,"While around river, one encountered retiring goddess",ARTEMIS
small,S,3,abbreviation,yes,20260703-19D; 20260704-1D; 20260717-18D,Small bank possibly short of pounds?,SLENDER
story,LIE,3,synonym,yes,20260707-7D; 20260708-19D; 20260713-18D,Article: story upcoming beat journalist turned away,ALIENATED
you,U,3,single-letter,yes,20260630-25A; 20260701-15D; 20260715-23D,Nothing for you in marriage — it causes tears,ONION
about,RE,2,abbreviation,yes,20260704-2D; 20260706-6D,Change of plan about new flag,REDENSIGN
an,AN,2,other,yes,20260629-16D; 20260713-15A,An international compiler failing to finish drink,ANISETTE
back,STERN,2,synonym,yes,20260717-8D; 20260720-26A,Toss back short-tailed shark,SHYSTER
before,ERE,2,synonym,yes,20260629-1A; 20260704-25A,"Around noon, day before, say Black Prince danced with her",CINDERELLA
billions,B,2,abbreviation,yes,20260704-7D; 20260715-14A,What’s between programmes of Biden and Trump initially losing billions,IDENT
british,B,2,abbreviation,yes,20260708-1A; 20260722-11A,"British criminal gang let out — in retrospect, a disaster waiting to happen",TIMEBOMB
cape,C,2,abbreviation,yes,20260629-10A; 20260703-14D,Onset of ardent romance when touring Cape Bay,ALCOVE
clubs,C,2,abbreviation,yes,20260717-27A; 20260720-28A,Like to enter clubs wearing golf jacket,CASING
conflict,WAR,2,synonym,yes,20260714-20D; 20260723-1A,Amount of distortion in part of book about conflict?,WARPAGE
conservative,C,2,abbreviation,yes,20260629-17A; 20260722-2D,Quiet old Conservative Big Beast last to speak in vibrant tone,SHOCKINGPINK
constant,C,2,single-letter,yes,20260706-24A; 20260711-5A,Spies in constant control endlessly essential,CRUCIAL
duck,O,2,cricket,yes,20260707-11D; 20260718-26A,Deprived character of duck meat on bread roll,OLIVERTWIST
european,E,2,abbreviation,yes,20260706-18A; 20260724-24A,European with jolly temper receiving love periodically,EVERYSOOFTEN
georgia,GA,2,place,yes,20260715-24A; 20260723-5D,Radioactive element one’s lad found around Georgia,OGANESSON
good,G,2,single-letter,yes,20260713-21D; 20260721-29A,Spirit of good admin worker broken by criticism,GRAPPA
grand,G,2,abbreviation,yes,20260711-22D; 20260724-22D,Shower beneath grand timber structure,GRAIN
hard,H,2,abbreviation,yes,20260703-26A; 20260716-13A,"Hard drug injected in wound made good, at last?",REHEELED
in,HOME,2,synonym,yes,20260707-1A; 20260723-15A,Second city storing rubbish in pile,STATELYHOME
in,IN,2,synonym,yes,20260721-6D; 20260723-7D,Film director — one has dropped in at the start,FELLINI
india,I,2,nato,yes,20260629-23A; 20260711-23A,Last lieutenant stationed in United India and China,ULTIMATE
large,L,2,abbreviation,yes,20260714-12A; 20260715-15D,Covering many miles working in large country house,LONGRANGE
line,L,2,abbreviation,yes,20260716-28A; 20260720-20A,"Seriously hoarse, missing a line",GRAVELY
maiden,M,2,cricket,yes,20260629-6D; 20260703-2D,Valiant maiden shortly embraces warrior king,AGAMEMNON
northern,N,2,abbreviation,yes,20260629-14A; 20260714-2D,Injure supporter in capital relocating northern star,MARLONBRANDO
old man,PA,2,synonym,yes,20260630-4D; 20260721-1A,Old man scowls after initially referencing <i>Chambers</i>,PARLOURS
on,ON,2,other,yes,20260706-6D; 20260722-25A,"Estimation of position that’s insensitive about country’s leader, monarch carrying on",DEADRECKONING
on,RE,2,abbreviation,yes,20260723-27A; 20260724-23A,One no longer working on carrying English flag,RETIREE
provided,IF,2,synonym,yes,20260706-14A; 20260710-2D,Superb quality in publication with good binding provided by New Church,MAGNIFICENCE
pub,INN,2,synonym,yes,20260704-19A; 20260710-21D,Guts of pub poets starting late,INNARDS
regret,RUE,2,synonym,yes,20260703-8D; 20260716-24A,"Since pinching copy, regret mounts up",ACCRUES
second,S,2,abbreviation,yes,20260707-1A; 20260720-9D,Second city storing rubbish in pile,STATELYHOME
son,S,2,abbreviation,yes,20260706-22A; 20260721-5D,Piety in turn followed by rows between daughter and son,GODLINESS
succeeded,S,2,abbreviation,yes,20260702-20A; 20260716-1A,Obscure athletes who succeeded attract most attention,STEALTHESHOW
throw,LOB,2,synonym,yes,20260716-1D; 20260720-26A,"I throw up over match official, one Simon",BOLIVAR
university,U,2,abbreviation,yes,20260708-9A; 20260711-14A,Open University study halved proposal,OVERTURE
very,V,2,abbreviation,yes,20260701-17D; 20260716-3D,"Test 1960s car model — very old Mercedes, essentially",VIVAVOCE
victory,WIN,2,synonym,yes,20260701-6D; 20260707-19D,Unsound victory buries Liberal prime minister,BALDWIN
when,AS,2,synonym,yes,20260711-8D; 20260722-8A,"When upset go to bed, heading off extremely gloomy",SATURNINE
with,AND,2,synonym,yes,20260703-14D; 20260718-5D,Fabulous man with cape interrupting functions,ANDROCLES
working,ON,2,synonym,yes,20260714-12A; 20260716-25A,Covering many miles working in large country house,LONGRANGE
'eavily,ARD,1,other,yes,20260710-28A,"Fail ’eavily, being a mug",TANKARD
0,O,1,single-letter,yes,20260723-26A,Boat Race coverage has to hurt after losing final 1-0,MUSTACHIO
1,I,1,roman,yes,20260723-26A,Boat Race coverage has to hurt after losing final 1-0,MUSTACHIO
100,C,1,roman,yes,20260708-18D,Person choosing to have 100 plus soldiers promoted for protection,CORSELET
100 mph,TON,1,other,yes,20260724-24A,Heavy load troubles European on motorway going around 100 mph,MILLSTONE
"15, perhaps",RESIN,1,other,yes,20260717-17A,"Turning 15, perhaps attention-seeker’s one to charge",IONISER
1960s car model,VIVA,1,other,yes,20260701-17D,"Test 1960s car model — very old Mercedes, essentially",VIVAVOCE
25,UNWED,1,other,yes,20260710-27A,Made one female in two for wife of 25,UNIFIED
3d figure,CONE,1,synonym,yes,20260710-3D,Treat as one or two-dimensional in 3D figure,CONFLATE
500,D,1,roman,yes,20260723-13A,A gracious party hosting 500? It’s a bit of a thinker,AMYGDALA
7,SEVEN,1,other,yes,20260723-20D,7 almost lifted product of eg Berkshire town,EVESHAM
<i>cheers</i>,TA,1,synonym,yes,20260715-18D,"Drink provider, almost nude, is on <i>Cheers</i>",BARISTA
a & e,AVOWAL,1,other,yes,20260714-19A,"In denial, slag off A & E loudly, perhaps",DISAVOWAL
a certain,ONE,1,synonym,yes,20260724-16D,A certain stage not available to North Hollywood resident?,ANGELENO
a couple of zeds,ZZ,1,other,no,20260714-1D,"Confused, Glen catches a couple of zeds in appropriate place",BEDAZZLED
a few,SOME,1,synonym,yes,20260716-13A,"Sitting astride modest conveyance hard, a few make strong impression",STRIKEHOME
a poet laureate,MOTION,1,other,yes,20260702-2D,Still in need of a poet laureate?,MOTIONLESS
a screen,A VEIL,1,synonym,yes,20260702-21D,Advantage of a screen in the auditorium,AVAIL
a&e,AE,1,other,yes,20260715-22D,Divert item required for the most part in A&E,AMUSE
abandoned,LEFT,1,synonym,yes,20260701-13D,Sinister individual abandoned description of her?,LEFTHANDER
about,C,1,abbreviation,yes,20260708-14D,Talk about cut beginning to affect crime checks,CHEWTHEFAT
academic,DEAN,1,synonym,yes,20260713-15A,"An academic from Quito, say",ANDEAN
academician,RA,1,abbreviation,yes,20260707-12A,Exhausted academician has eaten outside,DRAINED
according to,AS PER,1,synonym,yes,20260708-3D,Infuriate former partner according to judges after losing case,EXASPERATE
ace,A,1,abbreviation,yes,20260721-26A,Ace child looked after trophy?,AWARD
acquisition,BUY,1,synonym,yes,20260724-5D,Later acquisition noted by auditor,BYE
act,DO,1,synonym,yes,20260706-3A,"Almost admit, on reflection, act involving bad misdemeanour",PECCADILLO
acted horribly,HAMMED,1,synonym,yes,20260718-3D,Shark acted horribly eating bird not flying away,HAMMERHEAD
acts on stage,ROUTINES,1,synonym,yes,20260708-24D,Absolutely worst acts on stage in first half,ROUT
admin worker,PA,1,abbreviation,yes,20260713-21D,Spirit of good admin worker broken by criticism,GRAPPA
admire,REVERE,1,synonym,yes,20260716-11A,First person to go in to admire brown study,REVERIE
admit,ACCEPT,1,synonym,yes,20260706-3A,"Almost admit, on reflection, act involving bad misdemeanour",PECCADILLO
advance,PLAN,1,synonym,yes,20260713-2D,"Airline finally can advance, having secured one place for aircraft",BIPLANE
affect,A,1,single-letter,yes,20260708-14D,Talk about cut beginning to affect crime checks,CHEWTHEFAT
again,OVER,1,synonym,yes,20260708-11A,Order around my relations again,LORDITOVER
agamemnon’s murderer,AEGISTHUS,1,other,yes,20260704-23D,Protection thus denied to Agamemnon’s murderer,AEGIS
agreed,AY,1,other,yes,20260724-25A,Revised dates agreed after loud festival,FEASTDAY
agricultural disease,BSE,1,abbreviation,yes,20260715-19D,"Want expert to contain agricultural disease, note",ABSENCE
air,AIR,1,other,yes,20260717-9D,An old woman adopting stuck-up air of cultivation,AGRARIAN
air,ARIA,1,synonym,yes,20260721-20D,Special sandals mostly elevated above air,TALARIA
airline finally,E,1,other,no,20260713-2D,"Airline finally can advance, having secured one place for aircraft",BIPLANE
all in,EXHAUSTION,1,synonym,yes,20260710-14D,"Perhaps a blow, being all in when Louisiana stands for America",EXHALATION
alpha,A,1,nato,yes,20260724-7D,Male genes modified to limit alpha element,MANGANESE
although,WHE,1,other,yes,20260714-13D,"Setter penning Listener, although missing last piece of mechanism",GEARWHEEL
always,AY,1,synonym,yes,20260707-2D,Daft mimicry always includes elevated material,APERY
amateur,LAIC,1,synonym,yes,20260717-1D,Parties of amateur mapmakers hiked up sierra,SOCIALS
america,A,1,abbreviation,yes,20260702-27A,Move segment of flight to avoid America,STIR
america,US,1,abbreviation,yes,20260710-14D,"Perhaps a blow, being all in when Louisiana stands for America",EXHALATION
american,US,1,abbreviation,yes,20260711-15D,Trace family’s heir with input from American detective,SUSPICION
american leader,POTUS,1,abbreviation,no,20260715-2D,Something helping you forget Liberal American leader losing power,LOTUS
an,A,1,other,yes,20260717-9D,An old woman adopting stuck-up air of cultivation,AGRARIAN
and others,ETAL,1,abbreviation,yes,20260701-11A,Turner and others reflecting about what gets him going,LATHE
anger,NGE,1,other,yes,20260710-13A,"Set fuel to burn, suppressing naked anger",CONGEAL
angry,CROSS,1,synonym,yes,20260721-15D,Angry about one insect in food item,CROISSANT
animated boy,BART,1,other,yes,20260703-22D,Animated boy discharging bomb finally cuts what wire?,EARTH
another,Y,1,single-letter,yes,20260718-10A,Easygoing unknown replacing another in broadcast,RELAXED
another man,PAWN,1,chess,yes,20260722-1D,King feeding another man peach snack,PRAWNCRACKER
anxiety,ANGST,1,synonym,yes,20260715-19A,Beset by anxiety about way of working,AMONGST
appearance,A,1,single-letter,yes,20260722-7D,Country’s top player first of all in cup appearance,COSTARICA
appropriate place,BED,1,synonym,yes,20260714-1D,"Confused, Glen catches a couple of zeds in appropriate place",BEDAZZLED
argument,ROW,1,synonym,yes,20260722-9D,Winger dodges argument about expected score,HEDGESPARROW
arguments,ROWS,1,synonym,yes,20260708-5D,Adopts arguments introduced by book as an alternative,BORROWS
arrests,RET,1,other,yes,20260708-2D,Centre backed arrests regularly dividing parts of Ireland,INTERIOR
arrived,RIE,1,other,yes,20260713-13A,"Wine periodically arrived with stronger, mixed drink",RIESLING
article,THE,1,other,yes,20260706-16D,"Airy editor’s opening article, authentic",ETHEREAL
article,A,1,other,yes,20260707-7D,Article: story upcoming beat journalist turned away,ALIENATED
artist,EMIN,1,other,yes,20260707-28A,Artist drawn in by enigmatic Chinese title,HISEMINENCE
artist,RA,1,abbreviation,yes,20260720-16D,Uninhibited live artist close to limit in song,LIBERATED
as an alternative,OR,1,synonym,yes,20260708-5D,Adopts arguments introduced by book as an alternative,BORROWS
as well,TWO,1,other,yes,20260722-13D,Deputy feeling less outspoken as well,NUMBERTWO
aspiration,H,1,single-letter,yes,20260630-15A,Eloquent Roman commander-in-chief meeting hero without aspiration,CICERO
assistant,PA,1,abbreviation,yes,20260706-21A,"Shock assistant, turning against crony",APPAL
"attempt to catch salmon, maybe",FISH,1,synonym,no,20260724-4D,"From attempt to catch salmon, maybe bears suffer cold",STANDOFFISH
attention,N,1,single-letter,yes,20260701-25A,Safe place to receive focus of attention,HAVEN
attention-seeker’s,OI,1,other,yes,20260717-17A,"Turning 15, perhaps attention-seeker’s one to charge",IONISER
australia,OZ,1,abbreviation,yes,20260710-4D,Australia cut off Japanese conductor,OZAWA
authentic,REAL,1,synonym,yes,20260706-16D,"Airy editor’s opening article, authentic",ETHEREAL
author,I,1,single-letter,yes,20260708-21D,Dated observation failing to save author making a comeback,ESPIAL
bachelor,B,1,abbreviation,yes,20260724-14A,"Bachelor say, if gender reassigned, probably missing balls?",BUTTERFINGERED
bad,ILL,1,synonym,yes,20260706-3A,"Almost admit, on reflection, act involving bad misdemeanour",PECCADILLO
bag,SAC,1,synonym,yes,20260717-15A,American thoroughly beat darn punching bag,SHELLAC
band from us,REM,1,other,yes,20260703-12D,Protest band from US — one containing guitar,REMONSTRATE
bank possibly,LENDER,1,synonym,yes,20260703-19D,Small bank possibly short of pounds?,SLENDER
bar,LESS,1,synonym,yes,20260708-16D,Low bar having nothing to justify it,BASELESS
bar,EXCEPT,1,synonym,yes,20260716-25A,Anomaly of one working behind bar,EXCEPTION
barrier,WALL,1,synonym,yes,20260720-2D,Beastly noise — provide barrier for ears,CATERWAUL
basic unit,CELL,1,synonym,yes,20260707-17A,Superb basic unit in old hospital department,EXCELLENT
battle,FIGHT,1,synonym,yes,20260724-9A,Leaders muddled in battle rush order to reorient troops,RIGHTFACE
bears suffer,STAND,1,synonym,yes,20260724-4D,"From attempt to catch salmon, maybe bears suffer cold",STANDOFFISH
bear’s back,R,1,single-letter,yes,20260722-25A,"Polar bear’s back, on returning with particular force?",NORTHERN
beat,TAN,1,synonym,yes,20260707-7D,Article: story upcoming beat journalist turned away,ALIENATED
beat regulator,PACEMAKER,1,synonym,yes,20260717-22A,Energy boards beat regulator and arbitrator,PEACEMAKER
beer,ER,1,other,yes,20260716-5A,"Spender rarely missed beer, half of each",MISER
before long,SOON,1,synonym,yes,20260721-22A,Canadian city before long hosting a card game,SASKATOON
begrudge,RESENT,1,synonym,yes,20260703-3D,"Begrudge supporting old leader of mafia shot here, there and everywhere",OMNIPRESENT
being driven,CAR,1,synonym,yes,20260722-17A,African driver’s ruckus while being driven?,CAMELEER
being restless,IMPATIENT,1,synonym,yes,20260704-6D,One admitted being restless as month turns to November,INPATIENT
bell-ringer,TOLLER,1,synonym,yes,20260724-15D,"Decent plain rounds within compass of bell-ringer, nearly",TOLERABLE
bend,CURVE,1,synonym,yes,20260708-7D,Bend initially to leap in the air,CURVET
benefit,SAKE,1,synonym,yes,20260723-6D,Kind of music benefit including core from Monty Python,ROCKSNAKE
better,B,1,single-letter,yes,20260702-24A,"Carefree on leaving show, one of seven heading for better parts",DEMOBHAPPY
big beast,KINGPIN,1,synonym,yes,20260629-17A,Quiet old Conservative Big Beast last to speak in vibrant tone,SHOCKINGPINK
big defeat,ROUT,1,synonym,yes,20260715-14A,"Eliminates our team, enthralling billions in big defeat",RUBSOUT
bill,AD,1,synonym,yes,20260629-19D,Bill eats fruit out of English tree,ALMOND
bird,SWAN,1,synonym,yes,20260720-21A,Secretary bird keeps losing a lot of eggs,SPAWN
bird not flying,RHEA,1,other,yes,20260718-3D,Shark acted horribly eating bird not flying away,HAMMERHEAD
bishop,B,1,chess,yes,20260701-4A,Vulgar scheme involves English bishop that is retiring,PLEBEIAN
bit of butter,PAT,1,synonym,yes,20260718-19D,Bread with bit of butter I had after tea,CHAPATI
black,B,1,abbreviation,yes,20260716-23A,I’m thinking black fury brings offence,UMBRAGE
bloody,RED,1,synonym,yes,20260701-3D,Abusively criticised bloody despicable cuts,REVILED
bomb,B,1,other,yes,20260703-22D,Animated boy discharging bomb finally cuts what wire?,EARTH
bond,M,1,other,yes,20260704-8D,What Bond says regarding management shenanigans?,MISCHIEF
border,OUTLAND,1,synonym,yes,20260708-4D,Weird light has somewhat visible border?,OUTLANDISH
borders,RIMS,1,synonym,yes,20260707-10A,Borders crossing close to free French city,REIMS
bow,ARC,1,synonym,yes,20260720-24D,Romantic hero’s bow in hollow display,DARCY
box,SPAR,1,synonym,yes,20260724-12A,See one box splits quite apart,DISPARATE
boyfriend,BEAU,1,synonym,yes,20260720-18D,"Thanks boyfriend, introducing beginning of love scene",TABLEAU
bragging,CROW,1,synonym,yes,20260714-22A,Where one might find Jack bragging about space that one’s left,CROWNGREEN
brand,LOGO,1,synonym,yes,20260724-2D,Enter details of account’s brand name,LOGON
bread,MONEY,1,synonym,yes,20260630-8D,Daily bread for Buffalo Bill?,PAPERMONEY
bread roll,TWIST,1,synonym,yes,20260707-11D,Deprived character of duck meat on bread roll,OLIVERTWIST
breeches,B,1,single-letter,yes,20260723-1D,"Stitch up outside of top of breeches, where flies may get caught",WEBS
bridge,CROSS,1,synonym,yes,20260716-8D,Los Angeles Gazette finally covers bridge game,LACROSSE
broadcast,RELAYED,1,synonym,yes,20260718-10A,Easygoing unknown replacing another in broadcast,RELAXED
buffet,HIT,1,synonym,yes,20260717-13A,Spot wife in front of buffet,WHIT
building’s top,ROOF,1,synonym,yes,20260718-17D,Theatre building’s top carpeting,REPROOF
bursary,GRANT,1,synonym,yes,20260721-7D,"Sacred text I had translated, having received bursary?",ADIGRANTH
by,X,1,other,yes,20260702-23D,Religious festival widely celebrated by mothers,XMAS
by a considerable margin,WELL,1,synonym,no,20260718-7D,"Physicist, the most significant one by a considerable margin",MAXWELL
cage,PEN,1,synonym,yes,20260716-23D,Overturn cage in middle of studio,UPEND
california,CAL,1,place,yes,20260629-2D,Hostile island to the north of California supports mini uprising,INIMICAL
call out,CRY,1,synonym,yes,20260717-23D,"Before training, call out underground cell",CRYPT
cambridge university,MIT,1,place,yes,20260702-7D,Miss Cambridge University’s past love,OMIT
can,LOO,1,synonym,yes,20260630-13A,Cross dons can rapidly empty chat room,LOCUTORY
can it,SH,1,synonym,yes,20260711-20D,Can it imitate fashion?,SHAPE
can that be true?,ISIT,1,synonym,no,20260724-19D,Come back to minister — can that be true?,REVISIT
cannot stand,CANT ABIDE,1,synonym,yes,20260704-17D,Cannot stand getting left for the day singing,CANTABILE
cap,TOP,1,synonym,yes,20260707-16D,Some exudation? Cap damaged mescal bottles,ECTOPLASM
capital,LONDON,1,place,yes,20260629-14A,Injure supporter in capital relocating northern star,MARLONBRANDO
capital,QUITO,1,place,yes,20260710-17D,Airborne pest miles over southern capital,MOSQUITO
car,HONDA,1,other,yes,20260703-17D,Car missing rear end blocking road over a Welsh river,RHONDDA
card game,SKAT,1,other,yes,20260721-22A,Canadian city before long hosting a card game,SASKATOON
carpet,BERATE,1,synonym,yes,20260708-6D,Shop intended to give away carpet,DELI
carry golf bags,CADDY,1,synonym,yes,20260720-28A,Irregular guards carry golf bags without clubs for rich older guy,SUGARDADDY
casual garment,LEVIS,1,synonym,yes,20260722-16D,Show peg pinning casual garment,TELEVISE
catch without licence,POACH,1,synonym,yes,20260720-14A,"Catch without licence, exchanging penny for river fish",ROACH
cats maybe,PETS,1,synonym,yes,20260713-16D,Cats maybe cross over threshold?,DOORSTEP
celebrity,STAR,1,synonym,yes,20260630-5A,Celebrity mate with new business,STARTUP
censure,STICK,1,synonym,yes,20260711-11A,Censure own goal during tie to remain in league,STICKTOGETHER
centre of medellin,EL,1,other,no,20260630-3D,Place to stay in centre of Medellin,HOTEL
centre of swansea,N,1,other,no,20260714-11A,"Ignorant, like many police officers patrolling centre of Swansea",UNINFORMED
centre of us politics,DC,1,place,no,20260720-27A,Record lives in centre of US politics,DISC
cereal crops,RICES,1,synonym,yes,20260717-12D,Estate managers cut cereal crops south of river,EXECUTRICES
chap,BOD,1,synonym,yes,20260630-16D,Retired chap and ex-PM almost go to war,DOBATTLE
chapter,C,1,abbreviation,yes,20260629-21D,Duplicate chapter covered by US school subject,MATCH
chap’s,HIS,1,synonym,yes,20260715-11A,Chap’s instrument transferring current in Caribbean island,HISPANIOLA
charge,WARD,1,synonym,yes,20260701-1A,"At last, floor space charge generates profit",REWARD
charter,HIRE,1,synonym,yes,20260707-4D,County now divided dismisses charter,YORKSHIRE
cheek,LIP,1,synonym,yes,20260707-22A,"Religious traveller turning cheek, resolute",PILGRIM
cheer of approval,OLE,1,synonym,yes,20260713-6D,"Play electronic music, receiving cheer of approval",TOLERANCE
cheers,TA,1,synonym,yes,20260710-10A,Supporter cheers on popular princess,INFANTA
cheltenham,SPA,1,place,yes,20260721-2D,Country home south of Cheltenham?,SPAIN
child looked after,WARD,1,synonym,yes,20260721-26A,Ace child looked after trophy?,AWARD
china,MATE,1,synonym,yes,20260629-23A,Last lieutenant stationed in United India and China,ULTIMATE
chinese,HAN,1,other,yes,20260702-3A,"Taken aback, coughed up Chinese university society fine",DIAPHANOUS
chlorine,CL,1,chemical,yes,20260704-16A,Note chlorine in what might be maple syrup,TREACLE
choir’s,R,1,other,yes,20260716-12A,"School music award missing year, a choir’s last",GRAMMAR
chubby,FAT,1,synonym,yes,20260723-15A,"Get chubby, in short",FATHOM
church,CH,1,abbreviation,yes,20260704-13A,Misuse needles right outside former church,DROPASTITCH
church,CE,1,abbreviation,yes,20260706-14A,Superb quality in publication with good binding provided by New Church,MAGNIFICENCE
cigarette,TAB,1,synonym,yes,20260714-25A,Order policeman to leave mate following cigarette,TABULATE
citrus,ORANGE,1,synonym,yes,20260724-11A,"Nothing left of citrus drops, everything sold",RANGE
city,ELY,1,place,yes,20260707-1A,Second city storing rubbish in pile,STATELYHOME
cleaner,CHAR,1,synonym,yes,20260706-5D,"Cleaner, left in muddle, having no appeal",CHARMLESS
climbed,ROSE,1,synonym,yes,20260715-6D,"Boy with arrows climbed, bottom to top",EROS
close to,ON,1,synonym,no,20260713-20D,Visitor to Oz touring river close to city,TORONTO
close to free,E,1,other,no,20260707-10A,Borders crossing close to free French city,REIMS
closest associate,BESTIE,1,synonym,yes,20260720-23A,Roused Democrat after closest associate embraces Republican Right,BESTIRRED
club,DRIVER,1,synonym,yes,20260704-22A,Who works hard other than grasping Liberal club,SLAVEDRIVER
club,BAT,1,synonym,yes,20260716-1A,Ranting crowd in turn succeeded breaking into club,BOMBAST
comfortable one,NEST,1,synonym,yes,20260721-27A,"Home, comfortable one housing organ, seriously!",INEARNEST
comic perhaps,MAG,1,synonym,yes,20260724-6D,Funny comic perhaps uncovered her ferret,RUMMAGE
coming,ADVENT,1,synonym,yes,20260701-16A,"Risky undertaking, coming by river",ADVENTURE
commander,AGA,1,synonym,yes,20260706-11A,Opposing commander isn’t worried,AGAINST
commander-in-chief,CIC,1,abbreviation,yes,20260630-15A,Eloquent Roman commander-in-chief meeting hero without aspiration,CICERO
companies,FIRMS,1,synonym,yes,20260701-27A,Weapons companies checking defaced equipment,FIREARMS
compiler,SETTER,1,synonym,yes,20260629-16D,An international compiler failing to finish drink,ANISETTE
computer image,ICON,1,synonym,yes,20260716-19D,Stream smooth computer image,RUBICON
con,TRICK,1,synonym,yes,20260711-4D,Very friendly con swapping sides for rematch,THICK
confused situation,MESS,1,synonym,yes,20260715-8D,A long time dismissing first English doctor in confused situation may be sign of pregnancy,MATERNITYDRESS
